best m,c is 1.560000,11.600000 with error 15.766899 in direction 0
best m,c is 1.560000,11.610000 with error 15.763216 in direction 0
best m,c is 1.560000,11.620000 with error 15.759538 in direction 0
best m,c is 1.560000,11.630000 with error 15.755866 in direction 0
best m,c is 1.560000,11.640000 with error 15.752199 in direction 0
best m,c is 1.560000,11.650000 with error 15.748538 in direction 0
best m,c is 1.560000,11.660000 with error 15.744882 in direction 0
best m,c is 1.560000,11.670000 with error 15.741232 in direction 0
best m,c is 1.560000,11.680000 with error 15.737587 in direction 0
best m,c is 1.560000,11.690000 with error 15.733948 in direction 0
best m,c is 1.560000,11.700000 with error 15.730315 in direction 0
best m,c is 1.560000,11.710000 with error 15.726686 in direction 0
best m,c is 1.560000,11.720000 with error 15.723064 in direction 0
best m,c is 1.560000,11.730000 with error 15.719447 in direction 0
best m,c is 1.560000,11.740000 with error 15.715835 in direction 0
best m,c is 1.560000,11.750000 with error 15.712229 in direction 0
best m,c is 1.560000,11.760000 with error 15.708628 in direction 0
best m,c is 1.560000,11.770000 with error 15.705033 in direction 0
best m,c is 1.560000,11.780000 with error 15.701444 in direction 0
best m,c is 1.560000,11.790000 with error 15.697860 in direction 0
best m,c is 1.560000,11.800000 with error 15.694282 in direction 0
best m,c is 1.560000,11.810000 with error 15.690709 in direction 0
best m,c is 1.560000,11.820000 with error 15.687142 in direction 0
best m,c is 1.560000,11.830000 with error 15.683580 in direction 0
best m,c is 1.560000,11.840000 with error 15.680024 in direction 0
best m,c is 1.560000,11.850000 with error 15.676474 in direction 0
best m,c is 1.560000,11.860000 with error 15.672929 in direction 0
best m,c is 1.560000,11.870000 with error 15.669389 in direction 0
best m,c is 1.560000,11.880000 with error 15.665856 in direction 0
best m,c is 1.560000,11.890000 with error 15.662328 in direction 0
best m,c is 1.560000,11.900000 with error 15.658805 in direction 0
best m,c is 1.560000,11.910000 with error 15.655288 in direction 0
best m,c is 1.560000,11.920000 with error 15.651777 in direction 0
best m,c is 1.560000,11.930000 with error 15.648271 in direction 0
best m,c is 1.560000,11.940000 with error 15.644771 in direction 0
best m,c is 1.560000,11.950000 with error 15.641276 in direction 0
best m,c is 1.560000,11.960000 with error 15.637787 in direction 0
best m,c is 1.560000,11.970000 with error 15.634304 in direction 0
best m,c is 1.560000,11.980000 with error 15.630826 in direction 0
best m,c is 1.560000,11.990000 with error 15.627354 in direction 0
best m,c is 1.560000,12.000000 with error 15.623887 in direction 0
best m,c is 1.560000,12.010000 with error 15.620427 in direction 0
best m,c is 1.550000,12.020000 with error 15.616819 in direction 7
best m,c is 1.550000,12.030000 with error 15.613043 in direction 0
best m,c is 1.550000,12.040000 with error 15.609272 in direction 0
best m,c is 1.550000,12.050000 with error 15.605506 in direction 0
best m,c is 1.550000,12.060000 with error 15.601746 in direction 0
best m,c is 1.550000,12.070000 with error 15.597991 in direction 0
best m,c is 1.550000,12.080000 with error 15.594242 in direction 0
best m,c is 1.550000,12.090000 with error 15.590499 in direction 0
best m,c is 1.550000,12.100000 with error 15.586761 in direction 0
best m,c is 1.550000,12.110000 with error 15.583029 in direction 0
best m,c is 1.550000,12.120000 with error 15.579302 in direction 0
best m,c is 1.550000,12.130000 with error 15.575580 in direction 0
best m,c is 1.550000,12.140000 with error 15.571864 in direction 0
best m,c is 1.550000,12.150000 with error 15.568154 in direction 0
best m,c is 1.550000,12.160000 with error 15.564449 in direction 0
best m,c is 1.550000,12.170000 with error 15.560750 in direction 0
best m,c is 1.550000,12.180000 with error 15.557056 in direction 0
best m,c is 1.550000,12.190000 with error 15.553368 in direction 0
best m,c is 1.550000,12.200000 with error 15.549685 in direction 0
best m,c is 1.550000,12.210000 with error 15.546008 in direction 0
best m,c is 1.550000,12.220000 with error 15.542337 in direction 0
best m,c is 1.550000,12.230000 with error 15.538671 in direction 0
best m,c is 1.550000,12.240000 with error 15.535011 in direction 0
best m,c is 1.550000,12.250000 with error 15.531356 in direction 0
best m,c is 1.550000,12.260000 with error 15.527707 in direction 0
best m,c is 1.550000,12.270000 with error 15.524063 in direction 0
